id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
15467206,36635,Leyenda 1896-1956,8439000685,9788439000686,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466436920l/15467206._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466436920l/15467206._SX50_.jpg,1978,,,,,false,21123570,2,1,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['36635'],['Juan Ramón Jiménez'],['3.82'],[],[],[],
36498898,36635,"Primeras Prosas: Hojas doloridas, Glosario de Helios, Palabras Románticas y Paisajes líricos",,9788498950236,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2009,,,spa,Visor,false,58215160,1,1,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['36635'],['Juan Ramón Jiménez'],['3.82'],[],[],[],
53313133,36635,Poesía Pura,843970268X,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1999,,,spa,,false,81575932,1,1,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['36635'],['Juan Ramón Jiménez'],['3.82'],[],[],[],
23452041,36635,Cartas literarias,840205384X,9788402053848,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466437935l/23452041._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466437935l/23452041._SY75_.jpg,1977,,,spa,Bruguera;,false,43013998,1,2,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['36635'],['Juan Ramón Jiménez'],['3.82'],[],[],[],
51816532,36635,Mexodus: Interdependencia Asimetrica,1983426881,9781983426889,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,71390519,1,0,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['36635'],['Juan Ramón Jiménez'],['3.82'],[],[],[],
15472901,36635,"Juan Ramon Jimenez, Gallego Jose Luis: Homenaje de Pintores y Poetas",8450085756,9788450085754,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,21129270,1,0,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['36635'],['Juan Ramón Jiménez'],['3.82'],[],[],[],
22674337,36635,Vida. Días de mi vida,,9788415576853,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404754170l/22674337._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404754170l/22674337._SY75_.jpg,2014,3,,spa,Pre-Textos,false,42179632,1,7,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,2014,3,1,0.00,0,0,['36635'],['Juan Ramón Jiménez'],['3.82'],[],[],[],"En 1940 la Guerra Civil española había terminado y Juan Ramón Jiménez, ya en Estados Unidos, presentía que no volvería nunca más a España, como así ocurrió. La escritura de Vida, el proyecto que ideó en 1923 como parte central de la totalidad de su obra en prosa y verso, se convirtió para Juan Ramón, dos décadas más tarde y alejado para siempre de su tierra, en una autobiografía indispensable para sobrellevar la soledad del exilio y sentirse cerca de sus seres queridos, su lengua y los parajes que le habían sido familiares. Al mismo tiempo en <i>Vida</i>, el poeta refleja sus impresiones de los lugares extraños y nuevos que visitaba, y que le instaban a escribir una poesía sencilla, en apariencia, pero espiritual, cósmica y original en esencia. <br /><br />En <i>Días de mi vida</i>, primer volumen de esta autobiografía, se recogen los recuerdos e impresiones del poeta en las distintas etapas de su trayectoria vital. Así, en algunas prosas lo encontramos en Moguer jugando de niño; en otras, en Madrid atareado con la ordenación de su obra; años más tarde, solitario en una plaza de Nueva York; conversando en el Hotel Vedado de La Habana; anciano y débil en la playa de El Dorado de Puerto Rico; y ya al final de su vida, convaleciente, aunque sin cesar de escribir, en distintos sanatorios americanos. El libro quedó inacabado a la muerte de Juan Ramón y así, como obra en marcha, suspendida en el tiempo y en pleno desarrollo, se presenta <i>Vida</i> en esta primera edición.<br /><br />Reconstrucción, estudio y notas de Mercedes Juliá y Mª Ángeles Sanz Manzano."
50274003,36635,Españoles de tres mundo (1914-1940),,9788498950342,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2009,,,spa,Visor libros,false,75197741,1,2,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['36635'],['Juan Ramón Jiménez'],['3.82'],[],[],[],
5374064,36635,Poemas Y Cartas De Amor,8439865856,9788439865858,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,5441580,1,2,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,"['36635', '14419186']","['Juan Ramón Jiménez', 'Zenobia Camprubí']","['3.82', '3.43']",[],[],[],
4779735,36635,Unidad,8432207950,9788432207952,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466436633l/4779735.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466436633l/4779735._SY75_.jpg,1999,,,,,false,4844575,1,4,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,"['36635', '5473895']","['Juan Ramón Jiménez', 'Juan Ramڳon Jimڳenez']","['3.82', '0.0']",[],[],[],
