id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
25696040,119735,Poesía superrealista. Antología,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1977,,,spa,"BARRAL EDITORES, S.A.,1970",false,45526327,2,5,11,3,1,5:1|4:1|3:0|2:1|1:0|total:3,1977,1,1,3.67,2,0,['119735'],['Vicente Aleixandre'],['3.92'],[],[],[],
30297588,119735,Poesías completas,8475229689,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464297904l/30297588._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464297904l/30297588._SY75_.jpg,2005,,,spa,Visor Libros,false,50778154,1,6,10,2,0,5:2|4:0|3:0|2:0|1:0|total:2,,,,5.00,2,0,['119735'],['Vicente Aleixandre'],['3.92'],[],[],[],"Al editar y actualizar ahora las Poesías Completas de Vicente Aleixandre (1898 - 1984), después de casi veinticinco años desde su última publicación (a raiz de otorgársele el Premio Nobel de la Literatura, en 1977), no hacemos sino intentar aminorar en la medida de lo posible la larga deuda que la poesía española tenía contraída con este fundamental autor de la Generación del 27. <br /><br /> Una de las voces poéticas más inspiradas, intensas y originales del siglo XX, como la de Aleixandre, estaba necesirada de un más fácil acceso a su obra al tiempo que reclamaba una ""puesta al día"" de toda su extensa producción: desde aquellos libros que le cosagraron como maestro indiscutible de varias generaciones -La destrucción o el amor (1935), Sombra del paraíso (1944) o Poemas de la consumación (1968), por citar sólo alguno de los más significativos- hasta su hermosa obra póstuma En gran noche, de 1991, quizás menos nonbrada pero de igual extraordinaria fuerza y poder de seducción. Y junto a esta, merece ser citada, por sus contrastes y sorpresas, la ampliación de sus Poemas varios, con algunas piezas inéditas o poco conocidas que vienen a dar nuevo resalte y profundidad a esta complejísima obra. <br /><br /> Para llevar adelante el ambicioso proyecto, se ha podido contar con Alejandro Duque Amusco, que, a su sensibilidad de poeta, suma una experiencia de muchos años como estudioso de Aleixandre, lo que ha dado como resultado esta edición completa, rigurosa y definitiva."
23603492,119735,Retratos con nombre,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464713003l/23603492._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464713003l/23603492._SY75_.jpg,1965,,,,El Bardo,false,43205199,1,3,9,2,0,5:1|4:1|3:0|2:0|1:0|total:2,,,,4.50,2,0,['119735'],['Vicente Aleixandre'],['3.92'],[],[],[],"El Bardo. Barcelona. 1965. 21 cm. 108 p., 2 h. Encuadernación en tapa blanda de editorial ilustrada. Colección 'El Bardo, Colección de Poesía', v. 10. Aleixandre, Vicente 1898-1984. Primera edición .. Este libro es de segunda mano y tiene o puede tener marcas y señales de su anterior propietario. Depósito legal: B 14723-1965"
15370984,119735,Poemas de La Consumacion,0828870500,9780828870504,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,21027031,1,3,9,2,0,5:1|4:1|3:0|2:0|1:0|total:2,,,,4.50,2,0,"['6297599', '119735']","['Aleixandre', 'Vicente Aleixandre']","['3.67', '3.92']",[],[],[],
24188278,119735,Paradisets skugga,9100391069,9789100391065,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433000710l/24188278._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433000710l/24188278._SY75_.jpg,1974,,,swe,Albert Bonniers Förlag,false,45448233,1,4,9,4,0,5:0|4:0|3:2|2:1|1:1|total:4,,,,2.25,4,0,['119735'],['Vicente Aleixandre'],['3.92'],"['9839003', '292460']","['Arthur Lundkvist', 'Justo Jorge Padron']","['2.20', '3.33']","Swedish Collection of poems from: Ambito; Espadas como labios; La destruccion o el amor; mundo a solas; sombra del Paraiso; Nacimiento ultimo; historia del Corazon; Retratos con nombre, poemas de la consumacion &amp; Posia superrealsita"
29490966,119735,Poemas de amor,,9789871157976,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457807490l/29490966._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457807490l/29490966._SX50_.jpg,2007,11,,spa,Editorial Bonsai,false,49774596,1,8,8,2,0,5:1|4:0|3:1|2:0|1:0|total:2,,,,4.00,2,0,"['4026', '30195', '105076', '36401', '34575', '97436', '119735', '34610', '4620250', '44150', '34604', '140617', '175807', '25824', '500', '26449', '7469', '211482', '36635', '248175', '25575', '321535', '54952', '5761059']","['Pablo Neruda', 'Mario Benedetti', 'Nicolás Guillén', 'Amado Nervo', 'Gustavo Adolfo Bécquer', 'César Vallejo', 'Vicente Aleixandre', 'Antonio Machado', 'Dámaso Alonso', 'Federico García Lorca', 'Francisco de Quevedo', 'Gabriela Mistral', 'Alfonsina Storni', 'Julio Cortázar', 'Jorge Luis Borges', 'Horacio Salas', 'Octavio Paz', 'Gerardo Diego', 'Juan Ramón Jiménez', 'Oliverio Girondo', 'Rubén Darío', 'Macedonio Fernández', 'Rafael Alberti', 'Jorge Stanojevic']","['4.31', '4.10', '3.99', '3.93', '4.04', '4.22', '3.92', '4.05', '3.81', '3.98', '3.75', '4.00', '3.97', '4.22', '4.30', '3.61', '4.14', '3.72', '3.82', '4.20', '3.88', '3.96', '3.79', '4.00']",[],[],[],Antología poética de bolsillo.
9832585,119735,Poezje,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1978,,,,Państwowy Instytut Wydawniczy,false,14723243,4,5,8,2,0,5:1|4:0|3:1|2:0|1:0|total:2,1978,,,4.00,1,0,['119735'],['Vicente Aleixandre'],['3.92'],[],[],[],
17700732,119735,Si mañana despierto y otros poemas,,9788492183135,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1364564952l/17700732._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1364564952l/17700732._SY75_.jpg,1997,,,spa,Igitur,false,24745344,1,10,7,2,0,5:1|4:0|3:0|2:1|1:0|total:2,1997,1,1,3.50,2,0,"['7023344', '119735', '856123']","['Jorge Gaitán Durán', 'Vicente Aleixandre', 'Juan Luis Panero']","['3.67', '3.92', '3.61']",[],[],[],
10326911,119735,MIS Poemas Mejores,8424915828,9788424915827,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464712739l/10326911._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464712739l/10326911._SY75_.jpg,,,,lit,,false,15229367,1,6,7,2,0,5:1|4:0|3:0|2:1|1:0|total:2,1977,,,3.50,2,0,['119735'],['Vicente Aleixandre'],['3.92'],[],[],[],
1914290,119735,En Gran Noche: últimos Poemas,8432206482,9788432206481,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464713133l/1914290._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464713133l/1914290._SY75_.jpg,1991,,,,,false,1916294,1,3,6,2,0,5:0|4:1|3:0|2:1|1:0|total:2,,,,3.00,2,0,['119735'],['Vicente Aleixandre'],['3.92'],[],[],[],"Bajo el titulo de En gran noche - empleado por el propio autor para designar su poesía ultima - se recoge, atendiendo a precisas indicaciones del poeta, la obra lírica de Vicente Aleixandre que quedo inédita a su muerte. Tras una cuidadosa tarea de transcripción, fijación textual y selección, Carlos Bousona y Alejandro Duque Amusco nos deparan aquí ""texto graves y sentencioso"" junto a otros ""largo y complejo"" , coetáneos de sus últimos libros publicados o posteriores a ellos, y, en todo caso, ""dignos de figurar entre los mejores de la etapa final del poeta"". Es un verdadero acontecimiento para la literatura contemporánea el hecho de que así venga a enriquecerse con un crecido numero de piezas de importancia esencial la etapa ultima de madurez de uno de los mayores poetas de nuestro tiempo."
